
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 동대문구 전농동","597-5","0597","0005","리베르떼","19.7400","202605","04","17,900","-","10","개인","개인","2019","왕산로 250","-","중개거래","서울 동대문구","-"
"2","서울특별시 서대문구 홍제동","471","0471","0000","금호어울림","84.4965","202605","04","70,000","-","11","개인","개인","2016","모래내로 411","-","직거래","-","-"
"3","서울특별시 서대문구 홍은동","453-2","0453","0002","풍림2","107.2000","202605","04","77,500","-","8","개인","개인","1990","세검정로1길 35","-","직거래","-","-"
"4","서울특별시 양천구 신정동","1293","1293","0000","학마을1단지","49.9900","202605","04","47,000","-","11","개인","개인","2000","신정로14길 6","-","중개거래","서울 양천구","-"
"5","서울특별시 노원구 월계동","925","0925","0000","대동","59.7600","202605","04","35,000","-","6","개인","개인","1997","광운로 46","-","직거래","-","-"
"6","서울특별시 영등포구 여의도동","30-2","0030","0002","삼부","92.1300","202605","04","281,000","-","8","개인","개인","1975","국제금융로7길 27","-","중개거래","서울 영등포구","-"
"7","서울특별시 구로구 고척동","336","0336","0000","삼환로즈빌","84.9940","202605","04","95,000","-","20","개인","개인","2004","경인로 343","-","중개거래","서울 구로구","-"
"8","서울특별시 은평구 응암동","117-54","0117","0054","삼흥리치","59.2600","202605","03","51,500","-","4","개인","개인","2016","응암로 279","-","중개거래","서울 은평구","-"
"9","서울특별시 은평구 응암동","760","0760","0000","백련산힐스테이트2차","84.4900","202605","02","88,000","-","14","개인","개인","2011","백련산로 38","-","중개거래","서울 강서구, 서울 은평구","-"
"10","서울특별시 은평구 수색동","417","0417","0000","DMC롯데캐슬더퍼스트","59.9600","202605","02","114,900","-","17","개인","개인","2021","수색로 300","-","중개거래","서울 은평구","-"
"11","서울특별시 강남구 대치동","889-74","0889","0074","아름빌(889-74)","30.4600","202605","02","24,000","-","5","개인","개인","2003","선릉로86길 11","-","중개거래","서울 강남구","-"
"12","서울특별시 양천구 신정동","1283","1283","0000","푸른마을3","59.9100","202605","02","68,000","-","3","개인","개인","2001","신정로11길 63","-","중개거래","서울 양천구","-"
"13","서울특별시 관악구 신림동","1703-1","1703","0001","LIG대학마을(건영아파트3차)","69.1700","202605","02","61,500","-","13","개인","개인","1996","신림로3길 40","-","중개거래","서울 관악구","-"
"14","서울특별시 관악구 신림동","1735","1735","0000","관악산휴먼시아2단지","114.7000","202605","01","84,000","-","12","개인","개인","2008","난곡로 55","-","중개거래","서울 관악구","-"
"15","서울특별시 관악구 봉천동","1717","1717","0000","관악푸르지오","59.5800","202605","01","113,500","-","3","개인","개인","2004","관악로30길 27","-","중개거래","서울 관악구","-"
"16","서울특별시 은평구 불광동","641","0641","0000","북한산현대힐스테이트3차아파트","59.9900","202605","01","86,000","-","13","개인","개인","2010","불광로 122-10","-","중개거래","서울 은평구","-"
"17","서울특별시 은평구 진관동","25","0025","0000","구파발9단지래미안(916~928동)BL3-2","166.7500","202605","01","114,000","-","5","개인","개인","2010","진관3로 77","-","중개거래","서울 은평구","-"
"18","서울특별시 노원구 상계동","765","0765","0000","상계주공1(고층)","58.0100","202605","01","62,000","-","12","개인","개인","1988","동일로213길 21","-","중개거래","서울 노원구","-"
"19","서울특별시 구로구 고척동","227-1","0227","0001","한성","64.8000","202605","01","32,500","-","1","개인","개인","1989","중앙로15길 132-60","-","중개거래","서울 구로구","-"
"20","서울특별시 중랑구 묵동","381","0381","0000","신안1","84.9900","202605","01","71,300","-","6","개인","개인","1999","공릉로2라길 15","-","중개거래","서울 중랑구","-"
"21","서울특별시 동대문구 용두동","779","0779","0000","신동아","84.6300","202605","01","100,000","-","3","개인","개인","1994","무학로26길 30","-","중개거래","서울 동대문구","-"
"22","서울특별시 중구 묵정동","35","0035","0000","힐스테이트남산","38.9500","202605","01","78,000","-","8","개인","개인","2024","퇴계로46길 26","-","중개거래","서울 중구","-"
"23","서울특별시 성동구 행당동","344","0344","0000","신동아","59.9700","202605","01","136,000","-","2","개인","개인","1995","독서당로 441","-","중개거래","서울 성동구","-"
"24","서울특별시 강서구 화곡동","938-25","0938","0025","성재","62.4100","202605","01","30,500","-","7","개인","개인","2002","곰달래로 64","-","중개거래","서울 양천구","-"
"25","서울특별시 양천구 신월동","18-17","0018","0017","수명산태승훼미리","84.3300","202605","01","60,000","-","10","개인","개인","2002","월정로 262","-","중개거래","서울 강서구, 서울 양천구","-"
"26","서울특별시 강남구 개포동","649","0649","0000","경남2차","182.2000","202605","01","497,000","-","14","개인","개인","1984","언주로 110","-","중개거래","서울 강남구","-"
"27","서울특별시 강남구 청담동","10","0010","0000","삼환(101동)","84.9800","202605","01","220,000","-","3","개인","개인","1999","학동로77길 49","-","중개거래","서울 강남구, 서울 송파구","-"
"28","서울특별시 강남구 수서동","746","0746","0000","까치마을","49.5000","202604","30","190,000","-","15","개인","개인","1993","광평로19길 10","-","중개거래","서울 강남구","-"
"29","서울특별시 은평구 응암동","739","0739","0000","응암동금호","59.7300","202604","30","66,500","-","10","개인","개인","1998","응암로 318","-","중개거래","서울 은평구","-"
"30","서울특별시 은평구 대조동","179-16","0179","0016","북한산포레스트","19.0800","202604","30","19,000","-","4","개인","개인","2021","서오릉로 80","-","중개거래","서울 동대문구","-"
"31","서울특별시 노원구 상계동","666","0666","0000","상계주공10(고층)","59.3900","202604","30","44,000","-","7","개인","개인","1988","노원로 564","-","직거래","-","-"
"32","서울특별시 관악구 봉천동","867-12","0867","0012","프라비다2","19.6100","202604","30","17,000","-","8","개인","개인","2013","남부순환로218길 37","-","직거래","-","-"
"33","서울특별시 관악구 신림동","1703-1","1703","0001","LIG대학마을(건영아파트3차)","84.8200","202604","30","69,500","-","5","개인","개인","1996","신림로3길 40","-","중개거래","서울 관악구","-"
"34","서울특별시 관악구 봉천동","1703","1703","0000","봉천동아","59.7600","202604","30","104,500","-","6","개인","개인","2000","관악로 285","-","중개거래","서울 관악구","-"
"35","서울특별시 동작구 흑석동","343","0343","0000","흑석리버파크자이","59.7600","202604","30","210,000","-","4","개인","개인","2025","서달로 90","-","중개거래","서울 동작구","-"
"36","서울특별시 관악구 봉천동","1591-2","1591","0002","서울대입구삼성","59.7800","202604","30","75,500","-","4","개인","개인","1999","관악로 125","-","중개거래","서울 관악구, 서울 동작구","-"
"37","서울특별시 영등포구 여의도동","41","0041","0000","대교","151.7400","202604","30","418,850","-","9","법인","개인","1979","국제금융로7길 20","-","직거래","-","-"
"38","서울특별시 양천구 신정동","1322","1322","0000","이펜하우스2단지","84.5100","202604","30","73,700","-","2","개인","개인","2011","신정이펜2로 55","-","중개거래","서울 양천구","-"
"39","서울특별시 강서구 염창동","290","0290","0000","벽산늘푸른","84.9400","202604","30","92,000","-","12","개인","개인","1998","양천로63길 52","-","중개거래","서울 강서구","-"
"40","서울특별시 양천구 신월동","350-2","0350","0002","신안파크","60.2000","202604","30","37,400","-","2","개인","개인","1988","지양로15길 20","-","중개거래","서울 관악구, 서울 양천구","-"
"41","서울특별시 양천구 신월동","1075","1075","0000","목동센트럴아이파크위브1단지","84.9600","202604","30","136,000","-","18","개인","개인","2020","남부순환로83길 17","-","중개거래","서울 양천구","-"
"42","서울특별시 마포구 신수동","459","0459","0000","밤섬경남아너스빌","84.8300","202604","30","165,500","-","8","개인","개인","2009","독막로28길 10","-","중개거래","서울 마포구","-"
"43","서울특별시 강서구 화곡동","361-1","0361","0001","대림e편한세상","84.8400","202604","30","71,000","-","11","개인","개인","1992","월정로 160","-","중개거래","서울 양천구","-"
"44","서울특별시 양천구 신정동","743-2","0743","0002","신정6현대","84.6000","202604","30","86,000","-","1","개인","개인","2000","신정로 170","-","중개거래","서울 양천구","-"
"45","서울특별시 양천구 신월동","1039","1039","0000","신월2차보람쉬움","59.4300","202604","30","53,000","-","8","개인","개인","2005","오목로1길 46","-","중개거래","서울 양천구","-"
"46","서울특별시 강서구 화곡동","899-2","0899","0002","세림","21.6400","202604","30","16,500","-","11","개인","개인","2015","곰달래로24길 4","-","중개거래","서울 강서구","-"
"47","서울특별시 양천구 목동","713-5","0713","0005","상진지오벨리","84.8000","202604","30","63,500","-","5","개인","개인","2004","목동중앙남로3가길 127","-","중개거래","서울 양천구, 서울 영등포구","-"
"48","서울특별시 도봉구 창동","45","0045","0000","삼성래미안","84.8700","202604","30","91,000","-","8","개인","개인","1992","노해로66길 21","-","중개거래","서울 도봉구","-"
"49","서울특별시 도봉구 창동","26","0026","0000","동아","89.4500","202604","30","96,500","-","3","개인","개인","1988","노해로70길 12","-","중개거래","서울 도봉구","-"
"50","서울특별시 종로구 창신동","232","0232","0000","두산","59.9500","202604","30","56,700","103","2","개인","개인","1999","지봉로5길 7","-","직거래","-","26.04.30"
"51","서울특별시 광진구 구의동","671","0671","0000","구의자이르네","73.6556","202604","30","124,000","-","9","개인","개인","2021","광나루로39길 11","-","중개거래","서울 광진구","-"
"52","서울특별시 성동구 금호동1가","1500","1500","0000","금호삼성래미안","114.6700","202604","30","175,000","-","6","개인","개인","2001","독서당로 343","-","중개거래","서울 성동구","-"
"53","서울특별시 성동구 금호동4가","1555","1555","0000","서울숲르씨엘","59.5075","202604","30","142,000","-","7","개인","개인","2023","독서당로46길 34","-","중개거래","서울 성동구","-"
"54","서울특별시 동대문구 제기동","1212","1212","0000","한신아파트","84.7600","202604","29","111,000","-","3","개인","개인","2004","고산자로 534","-","중개거래","서울 동대문구","-"
"55","서울특별시 광진구 화양동","530","0530","0000","씨즈건대힐스","14.2300","202604","29","14,800","-","5","개인","개인","2017","광나루로20길 17","-","중개거래","서울 광진구","-"
"56","서울특별시 동대문구 제기동","153","0153","0000","안암골벽산","59.9400","202604","29","89,900","-","5","개인","개인","2003","약령시로 25","-","중개거래","서울 동대문구","-"
"57","서울특별시 관악구 봉천동","1000","1000","0000","현대(관악)","58.5900","202604","29","98,000","-","15","개인","개인","1992","관악로40길 60","-","중개거래","서울 관악구","-"
