노선,사고건수,사망자수,부상자수
경부,873,41,2164
남해,106,9,193
광주대구,28,3,42
서해안,271,33,556
울산,18,2,32
평택화성,70,1,132
익산포항,24,5,60
호남,141,10,329
순천완주,22,3,41
세종포천,38,2,82
당진영덕,62,5,125
중부,192,24,468
제2중부,10,1,61
평택제천,74,3,160
중부내륙,172,36,411
영동,362,16,813
광주원주,38,1,110
중앙,192,16,434
서울양양,135,5,394
동해,59,4,127
서울외곽순환,635,12,1171
남해 제1지선,15,2,28
남해 제2지선,36,0,68
남해 제3지선,6,0,11
제2경인,113,4,179
경인,89,2,188
인천국제공항,41,0,71
서천공주,6,1,7
평택시흥,41,1,89
용인서울,48,1,85
호남선의 지선,31,3,58
고창담양,14,0,19
대전남부순환,5,1,13
상주영천,5,3,4
수도권 제2순환,25,0,56
중부내륙지선,45,1,73
중앙선의 지선,20,0,34
부산외곽순환,17,1,25
